label,1x1
3,34
4,41
7,67
5,50
1,9
6,56
2,18
8,73
2,22
6,64
4,43
8,89
6,51
2,17
0,8
3,30
4,46
1,11
7,67
5,59
9,88
2,13
0,5
6,51
8,78
1,0
5,50
3,22
9,83
7,63
4,36
2,18
8,89
6,65
1,11
3,28
9,93
5,46
7,76
4,46
8,83
2,17
0,4
6,67
1,15
3,32
9,89
5,57
7,71
4,46
8,89
2,20
0,6
6,64
1,16
3,30
9,92
5,53
7,77
4,41
8,89
2,13
0,7
6,61
1,12
3,30
9,97
5,52
7,72
4,41
8,85
2,11
0,3
6,68
1,15
3,31
9,96
5,57
7,72
4,45
8,86
2,14
0,6
6,67
1,17
3,30
9,97
5,56
7,76
4,41
8,86
2,20
0,5
6,60
1,15
3,34
9,96
5,58
7,74
4,45
8,82
2,16
0,2
6,69
1,12
3,33
9,96
5,52
7,78
4,42
8,87
2,16
0,4
6,67
1,17
3,32
9,92
5,55
7,74
4,47
8,88
2,15
0,6
6,67
1,17
3,32
9,93
5,55
7,73
4,48
8,89
2,20
0,4
6,60
1,10
3,31
9,97
5,58
7,70
4,46
8,85
2,19
0,2
6,69
1,12
3,33
9,96
5,52
7,78
4,42
8,87
2,16
0,8
6,62
1,10
3,30
9,97
5,54
7,75
4,45
8,84
2,14
0,5
6,68
1,16
3,31
9,93
5,55
7,73
4,48
8,89
2,20
0,3
6,63
1,11
3,32
9,95
5,58
7,71
4,47
8,86
2,19
0,7
6,67
1,15
3,33
9,94
5,54
7,76
4,45
8,83
2,18
0,4
6,60
1,10
3,31
9,97
5,58
7,70
4,46
8,85
2,19
0,6
6,62
1,9
3,32
9,93
5,59
7,74
4,41
8,87
2,13
0,4
6,69
1,16
3,33
9,91
5,55
7,71
4,45
8,82
2,18
0,3
6,68
1,15
3,33
9,96
5,54
7,77
4,43
8,83
2,14
0,5
6,61
1,16
3,31
9,93
5,56
7,75
4,41
8,82
2,18
0,1

