label,1x1,1x2
6,89,74
9,83,73
9,43,24
4,38,6
0,13,43
1,49,46
4,98,36
5,12,50
8,81,16
9,73,83
5,22,88
6,71,82
1,81,64
4,95,10
3,5,36
2,63,34
2,46,65
0,94,63
4,29,59
5,80,20
7,29,34
2,82,83
5,58,24
0,10,16
6,4,67
6,60,93
1,15,61
4,17,80
4,7,2
3,16,61
7,46,61
7,47,57
1,11,57
0,20,3
3,29,1
2,31,51
4,14,75
5,69,1
4,53,28
1,14,58
5,87,10
4,84,12
2,34,14
7,0,64
1,50,66
0,97,72
4,61,24
9,63,30
7,40,62
9,73,88
8,58,28
0,74,36
7,69,12
9,36,92
0,89,69
0,75,57
8,93,58
8,33,99
6,98,97
5,36,89
9,13,15
1,91,49
