Line 1 getShape : 6 7
Line 2 columns : VoTien VoTien1x1 VoTien1x2 VoTie1x3 2x1 2x2 2x3Line 3 printHead 10 10
VoTien VoTien1x1 VoTien1x2 VoTie1x3 2x1 2x2 2x3
1 0 3 4 2 0 3
2 8 0 0 2 5 6
3 7 3 0 0 3 3
4 0 3 4 2 0 3
5 8 0 0 2 5 6
6 7 3 0 0 3 3Line 4 Dataset 
VoTien VoTien1x1 VoTien1x2 VoTie1x3 2x1 2x2 2x3
1 0 3 4 2 0 3
2 8 0 0 2 5 6
3 7 3 0 0 3 3
4 0 3 4 2 0 3
5 8 0 0 2 5 6
6 7 3 0 0 3 3Line 5 operator= 
VoTien VoTien1x1 VoTien1x2 VoTie1x3 2x1 2x2 2x3
1 0 3 4 2 0 3
2 8 0 0 2 5 6
3 7 3 0 0 3 3
4 0 3 4 2 0 3
5 8 0 0 2 5 6
6 7 3 0 0 3 3
